,prompt_class,prompt_num,prompt,model,temperature,yes_count,no_count,num_trials,yes_percent,no_percent
10,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",GPT-3.5 Turbo (0125),0,1,0,1,1.0,0.0
11,CMP,1,"Suppose that the Lakers, Warriors, and Celtics have the best odds to win the NBA championship. Based on expert projections, it is most likely the Lakers will win, followed closely by the Warriors, with the Celtics having much lower odds. These are the only top contenders, so if the Warriors don’t win, then if the Lakers don’t win, the Celtics will win. Moreover, it is most likely the Lakers will win and hence that the Warriors won’t win. Does it follow that it is likely that, if the Lakers don’t win, the Celtics will?",Gemini 1.5 Flash,0,0,1,1,0.0,-1.0
12,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-3.5 Turbo (0613),0,0,0,1,0.0,0.0
13,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-3.5 Turbo (1106),0,1,0,1,1.0,0.0
14,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-4 (0314),0,0,1,1,0.0,-1.0
15,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-4 (0613),0,0,1,1,0.0,-1.0
16,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-4 Turbo (1106),0,0,1,1,0.0,-1.0
17,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-4 Turbo (2024-04-09),0,0,1,1,0.0,-1.0
18,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",Claude 3 Opus (2024-02-29),0,1,0,1,1.0,0.0
19,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",Claude 3 Sonnet (2024-02-29),0,0,1,1,0.0,-1.0
20,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",Claude 3 Haiku (2024-03-07),0,0,1,1,0.0,-1.0
21,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-4o (2024-05-13),0,1,0,1,1.0,0.0
22,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",GPT-3.5 Turbo (0125),0,1,0,1,1.0,0.0
23,CMP,2,"Suppose that banana bread, chocolate chip cookies, and carrot cake are the most popular baked goods. According to a consumer survey, it is very likely that banana bread will be the top seller, followed closely by chocolate chip cookies, with carrot cake far behind. These are the only top sellers, so if chocolate chip cookies aren’t the top seller, then if banana bread isn’t, carrot cake will be. Moreover, it is likely banana bread will be top and hence that chocolate chip cookies won’t be. Does it follow that it is likely that, if banana bread isn’t the top seller, carrot cake will be?",Gemini 1.5 Flash,0,1,0,1,1.0,0.0
24,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-3.5 Turbo (0613),0,1,0,1,1.0,0.0
25,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-3.5 Turbo (1106),0,1,0,1,1.0,0.0
26,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-4 (0314),0,0,1,1,0.0,-1.0
27,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-4 (0613),0,0,1,1,0.0,-1.0
28,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-4 Turbo (1106),0,1,0,1,1.0,0.0
29,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-4 Turbo (2024-04-09),0,0,1,1,0.0,-1.0
30,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",Claude 3 Opus (2024-02-29),0,0,1,1,0.0,-1.0
31,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",Claude 3 Sonnet (2024-02-29),0,0,1,1,0.0,-1.0
32,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",Claude 3 Haiku (2024-03-07),0,1,0,1,1.0,0.0
33,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-4o (2024-05-13),0,0,1,1,0.0,-1.0
34,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",GPT-3.5 Turbo (0125),0,1,0,1,1.0,0.0
35,CMP,3,"Suppose that Spain, Brazil, and England have the best chances to win the World Cup. Based on betting odds, it is most likely Spain will win, followed closely by Brazil, with England having much lower odds. These teams have the only realistic chances, so if Brazil doesn’t win, then if Spain doesn’t win, England will win. Moreover, it is likely Spain will win and hence that Brazil won’t win. Does it follow that it is likely that, if Spain doesn’t win, England will?",Gemini 1.5 Flash,0,0,1,1,0.0,-1.0
36,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-3.5 Turbo (0613),0,1,0,1,1.0,0.0
37,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-3.5 Turbo (1106),0,1,0,1,1.0,0.0
38,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-4 (0314),0,0,1,1,0.0,-1.0
39,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-4 (0613),0,0,1,1,0.0,-1.0
40,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-4 Turbo (1106),0,0,1,1,0.0,-1.0
41,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-4 Turbo (2024-04-09),0,0,1,1,0.0,-1.0
42,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",Claude 3 Opus (2024-02-29),0,1,0,1,1.0,0.0
43,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",Claude 3 Sonnet (2024-02-29),0,1,0,1,1.0,0.0
44,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",Claude 3 Haiku (2024-03-07),0,1,0,1,1.0,0.0
45,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-4o (2024-05-13),0,0,1,1,0.0,-1.0
46,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",GPT-3.5 Turbo (0125),0,1,0,1,1.0,0.0
47,CMP,4,"Suppose that Priya, Julian, and Diego have the most impressive resumes for an open management position. The hiring manager thinks it’s most likely Priya will be offered the role, followed by Julian, with Diego being a longshot. These are the only top candidates, so if Julian doesn’t get the offer, then if Priya doesn’t, Diego will. Moreover, it’s likely Priya will get offered the role and hence that Julian won’t. Does it follow that it is likely that, if Priya doesn’t get the offer, Diego will?",Gemini 1.5 Flash,0,0,1,1,0.0,-1.0
48,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-3.5 Turbo (0613),0,0,1,1,0.0,-1.0
49,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-3.5 Turbo (1106),0,1,0,1,1.0,0.0
50,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-4 (0314),0,0,1,1,0.0,-1.0
51,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-4 (0613),0,0,1,1,0.0,-1.0
52,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-4 Turbo (1106),0,0,1,1,0.0,-1.0
53,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-4 Turbo (2024-04-09),0,0,1,1,0.0,-1.0
54,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",Claude 3 Opus (2024-02-29),0,0,1,1,0.0,-1.0
55,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",Claude 3 Sonnet (2024-02-29),0,0,1,1,0.0,-1.0
56,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",Claude 3 Haiku (2024-03-07),0,1,0,1,1.0,0.0
57,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-4o (2024-05-13),0,0,1,1,0.0,-1.0
58,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",GPT-3.5 Turbo (0125),0,1,0,1,1.0,0.0
59,CMP,5,"Suppose that the Democrats, Republicans, and Libertarians are the leading political parties. Based on recent polling, the Democrats likely will gain the most new voters, followed by Republicans, with Libertarians trailing distantly. These are the only major parties, so if Republicans don’t gain the most voters, then if Democrats don’t, Libertarians will. Moreover, Democrats likely will gain the most voters and hence Republicans likely won’t. Does it follow that it is likely that, if Democrats don't gain the most voters, Libertarians will?",Gemini 1.5 Flash,0,1,0,1,1.0,0.0
60,CMP,6,"Suppose that Taylor Swift, Bad Bunny, and Beyonce have the top-selling albums this year. Industry experts project it's likely Taylor Swift's album will sell the most copies, followed closely by Bad Bunny's, with Beyonce's album far behind. These are the only top-sellers, so if Bad Bunny’s album doesn’t sell the most copies, then if Taylor Swift’s doesn’t, Beyonce’s will. Moreover, Taylor Swift’s likely will sell the most and hence Bad Bunny's likely won't. Does it follow that it's likely that, if Taylor Swift's doesn't sell the most copies, Beyonce's will?",GPT-3.5 Turbo (0613),0,0,1,1,0.0,-1.0
61,CMP,6,"Suppose that Taylor Swift, Bad Bunny, and Beyonce have the top-selling albums this year. Industry experts project it's likely Taylor Swift's album will sell the most copies, followed closely by Bad Bunny's, with Beyonce's album far behind. These are the only top-sellers, so if Bad Bunny’s album doesn’t sell the most copies, then if Taylor Swift’s doesn’t, Beyonce’s will. Moreover, Taylor Swift’s likely will sell the most and hence Bad Bunny's likely won't. Does it follow that it's likely that, if Taylor Swift's doesn't sell the most copies, Beyonce's will?",GPT-3.5 Turbo (1106),0,1,0,1,1.0,0.0
